Id,DataSetId,DataRecordId,ChargeTypeId,Cost,Checksum,Units,Rate
1,443,2576,14,0.4,795101476,0,0
2,443,2576,11,1.81,2139934346,0,0
3,443,2576,12,36.99,617651169,0,0
4,443,2576,15,4.74,-769351520,0,0
5,444,2577,14,0.68,1048912947,0,0
6,444,2577,11,3.05,2042488956,0,0
7,444,2577,12,62.36,-1798604227,0,0
8,444,2577,15,8.37,-604291993,0,0
9,445,2578,14,0.34,1476090257,0,0
10,445,2578,11,1.6,1487387359,0,0
11,445,2578,12,32.7,447900060,0,0
12,445,2578,15,4.04,-2052217017,0,0
13,446,2579,14,0.27,1011442741,0,0
14,446,2579,11,1.28,1309376221,0,0
15,446,2579,12,26.16,1677995284,0,0
16,446,2579,15,3.21,1967426537,0,0
17,447,2580,14,0.28,1716309095,0,0
18,447,2580,11,1.27,1553991317,0,0
19,447,2580,12,25.88,-116439434,0,0
20,447,2580,15,3.37,-1767441890,0,0
21,448,2581,14,0.24,1591480590,0,0
22,448,2581,11,1.4,109335949,0,0
23,448,2581,12,28.52,-235399860,0,0
24,448,2581,15,2.88,-1065125175,0,0
25,449,2582,14,0.47,2055281280,0,0
26,449,2582,11,1.98,-1687283650,0,0
27,449,2582,12,40.48,143666093,0,0
28,449,2582,15,5.72,2124508904,0,0
29,443,2723,14,0.4,2215049,0,0
30,443,2723,11,0.78,1460955042,0,0
31,443,2723,12,0.08,1953037233,0,0
32,444,2724,14,0.68,1817200717,0,0
33,444,2724,11,1.53,-1162800342,0,0
34,444,2724,12,0.15,1040705224,0,0
35,445,2725,14,0.34,-976637978,0,0
36,445,2725,11,0.74,397835144,0,0
37,445,2725,12,0.07,1129592171,0,0
38,446,2726,14,0.27,1935587492,0,0
39,446,2726,11,1.06,-762844460,0,0
40,446,2726,12,0.1,131348511,0,0
41,446,2727,14,0.27,-174487516,0,0
42,446,2727,11,0.74,-847810612,0,0
43,446,2727,12,0.07,-1718279889,0,0
44,446,2728,14,-0.27,-1875134529,0,0
45,446,2728,11,-1.12,1312375857,0,0
46,446,2728,12,-0.11,-935740308,0,0
47,447,2729,14,0.28,-648916166,0,0
48,447,2729,11,0.59,-2146412809,0,0
49,447,2729,12,0.06,815173944,0,0
50,448,2730,14,0.24,-727201896,0,0
51,448,2730,11,0.57,-223030277,0,0
52,448,2730,12,0.06,1418784780,0,0
53,449,2731,14,0.47,1469903508,0,0
54,449,2731,11,0.64,787011505,0,0
55,449,2731,12,0.06,2090873931,0,0
56,443,2732,14,0.4,510410692,0,0
57,443,2732,11,1.44,-716109444,0,0
58,443,2732,12,0.14,1803249682,0,0
59,444,2733,14,0.68,292114033,0,0
60,444,2733,11,2.69,-1255874384,0,0
61,444,2733,12,0.26,-1652970102,0,0
62,445,2734,14,0.34,-1754846489,0,0
63,445,2734,11,1.27,-1494957101,0,0
64,445,2734,12,0.13,-1415314834,0,0
65,446,2735,14,0.27,-1784274781,0,0
66,446,2735,11,1.01,-1082872710,0,0
67,446,2735,12,0.1,-578963726,0,0
68,446,2736,14,0.27,-2075655168,0,0
69,446,2736,11,1.16,-1197558010,0,0
70,446,2736,12,0.11,284877437,0,0
71,446,2737,14,-0.27,1893824210,0,0
72,446,2737,11,-1.06,1267304173,0,0
73,446,2737,12,-0.1,-1164025719,0,0
74,447,2738,14,0.28,571462910,0,0
75,447,2738,11,0.98,1501004608,0,0
76,447,2738,12,0.1,-2058560413,0,0
77,448,2739,14,0.24,131321709,0,0
78,448,2739,11,1.02,1106836387,0,0
79,448,2739,12,0.1,313099468,0,0
80,449,2740,14,0.47,-1629932279,0,0
81,449,2740,11,1.23,-1106272398,0,0
82,449,2740,12,0.12,263930322,0,0
83,443,2741,14,0.4,2039143169,0,0
84,443,2741,11,1.53,-152552414,0,0
85,443,2741,12,21.45,-819970728,0,0
86,444,2742,14,0.68,-1261096453,0,0
87,444,2742,11,2.64,-2142536790,0,0
88,444,2742,12,37.09,-74870461,0,0
89,445,2743,14,0.34,1440876106,0,0
90,445,2743,11,1.26,-1965318185,0,0
91,445,2743,12,17.67,1022270372,0,0
92,446,2744,14,0.27,64444043,0,0
93,446,2744,11,1.27,-658142151,0,0
94,446,2744,12,17.26,-368107828,0,0
95,447,2745,14,0.28,1500712381,0,0
96,447,2745,11,0.96,883539515,0,0
97,447,2745,12,13.39,-607456282,0,0
98,448,2746,14,0.24,-324115675,0,0
99,448,2746,11,1.05,1299657045,0,0
100,448,2746,12,14.88,552825671,0,0
101,449,2747,14,0.47,-928236043,0,0
102,449,2747,11,1.25,-120322744,0,0
103,449,2747,12,17.51,902865092,0,0
104,443,2748,14,0.4,797654394,0,0
105,443,2748,11,1.73,1239422677,0,0
106,443,2748,12,8.47,2007372137,0,0
107,443,2748,15,4.74,2058369691,0,0
108,444,2749,14,0.68,91959609,0,0
109,444,2749,11,3.07,1374377167,0,0
110,444,2749,12,14.78,-705647783,0,0
111,444,2749,15,8.37,-102519364,0,0
112,445,2750,14,0.34,-1280568790,0,0
113,445,2750,11,1.48,142159833,0,0
114,445,2750,12,7.3,-1067709029,0,0
