Id,Type,Code,Name,Address1,Address2,Town,County,Country,PostCode,Telephone,FAX,Group_1,Group_2,Group_3,Group_4,Text_1,Text_2,Text_3,Text_4,Text_5,Number_1,Number_2,Number_3,Number_4,Number_5,Notes,Last_Update,Last_User,EMailNumber,Link_1,Link_2,Link_3,Link_4,Link_5,Checksum,NI_Building_Type,NI_Building_Category,Status,Number_6,Number_7,Number_8,Number_9,Number_10,Text_6,Text_7,Text_8,Text_9,Text_10,Factor_Region_Id,Latitude,Longitude
1,*,BBA1096-0755,SAT : Welwyn Garden City (697),18 Howardsgate,,Welwyn Garden City,Hertfordshire,,AL8 6BQ,01707 325025,,0,0,0,70,04/04/2020,,,,697,84,0,0,0,0,,2022-05-12 10:57:28.000,paul.mallett,welwynshop@satcol.org,,,,,,-1595128198,0,0,0,0,0,0,0,0,,,,,,280,0,0
2,*,BBA1096-0429,SAT : Northfield (624) CLOSED Sept 2020,820-822 Bristol Road South,Northfield,Birmingham,,,B31 2NS,01214 782232,,0,0,0,75,04/04/2020,,,,624,171,0,0,0,0,,2022-06-21 09:02:14.000,becky.jardine,northfieldshop@satcol.org,,,,,,-772469064,0,0,276,0,0,0,0,0,,,,,,280,0,0
3,*,BBA1096-0430,SAT : Bromsgrove (636),33-35 High Street,,Bromsgrove,Worcestershire,,B61 8AJ,01527 880197,,0,0,0,75,04/04/2020,,,,636,227,0,0,0,0,,2022-05-12 10:53:46.000,paul.mallett,bromsgroveshop@satcol.org,,,,,,-1017092424,0,0,0,0,0,0,0,0,,,,,,280,0,0
4,*,BBA1096-0431,SAT : Halesowen (635),33 Hagley Road,,Halesowen,,,B63 3AA,0121 550 1146,,0,0,0,75,04/04/2020,,,,635,220,0,0,0,0,,2022-05-12 10:53:48.000,paul.mallett,halesowenshop@satcol.org,,,,,,-1017138470,0,0,0,0,0,0,0,0,,,,,,280,0,0
5,*,BBA1096-0432,SAT : Sutton Coldfield (626) CLOSED June 2020,55 Birmingham Road,,Sutton Coldfield,,,B72 1QF,01213 553218,,0,0,0,75,04/04/2020,,,,626,139,0,0,0,0,,2022-06-21 09:07:16.000,becky.jardine,suttoncoldfieldshop@satcol.org,,,,,,1486277234,0,0,276,0,0,0,0,0,,,,,,280,0,0
6,*,BBA1096-0618,SAT : Darwen (671),Units 2a & 2b School Street,,Darwen,,,BB3 1BE,01254 775717,,0,0,0,76,04/04/2020,,,,671,113,0,0,0,0,,2022-05-12 10:57:05.000,paul.mallett,darwenshop@satcol.org,,,,,,-1682298095,0,0,0,0,0,0,0,0,,,,,,280,0,0
7,*,BBA1096-0433,SAT : Accrington  (679),44 Broadway,,Accrington,,,BB5 1EW,01254 382481,,0,0,0,76,04/04/2020,,,,679,105,0,0,0,0,,2022-05-12 10:53:51.000,paul.mallett,accringtonshop@satcol.org,,,,,,925818777,0,0,0,0,0,0,0,0,,,,,,280,0,0
8,*,BBA1096-0826,SAT : Bradford - Wibsey (741),226 High Street,Wibsey,Bradford,,,BD6 1QP,01274 770398,,0,0,0,80,04/04/2020,,,,741,109,0,0,0,0,,2022-05-12 10:57:42.000,paul.mallett,bradfordshop@satcol.org,,,,,,997758150,0,0,0,0,0,0,0,0,,,,,,280,0,0
9,*,BBA1096-0737,SAT : Boscombe (689),587 Christchurch Road,Boscombe,Bournemouth,Dorset,,BH1 4AN,01202 720732,,0,0,0,72,04/04/2020,,,,689,116,0,0,0,0,,2023-07-28 12:48:17.000,paul.mallett,do-not-email@satcol.org,,,,,,-344788701,0,0,0,0,0,0,0,0,,,,,,280,0,0
10,*,BBA1096-0434,SAT : Parkstone (418) SITE CLOSED NOV 2014,319 Ashley Road,Parkstone,Poole,,,BH14 0AP,,,0,0,0,72,10/04/2019,,,,418,114,0,0,0,0,,2022-05-12 10:53:52.000,paul.mallett,,,,,,,-1045114446,0,0,0,0,0,0,0,0,,,,,,280,0,0
11,*,BBA1096-0956,SAT : Poole (775),78 High Street,,Poole,,,BH15 1DB,01202 675981,,0,0,0,72,04/04/2020,,,,775,189,0,0,0,0,,2022-05-12 10:58:31.000,paul.mallett,poolehighstshop@satcol.org,,,,,,1058213492,0,0,0,0,0,0,0,0,,,,,,280,0,0
12,*,BBA1096-0435,SAT : Highcliffe (419),350 Lymington Road,Highcliffe,Christchurch,,,BH23 5EY,01425 275198,,0,0,0,72,04/04/2020,,,,419,112,0,0,0,0,,2022-05-12 10:53:54.000,paul.mallett,highcliffeshop@satcol.org,,,,,,1086604647,0,0,0,0,0,0,0,0,,,,,,280,0,0
13,*,BBA1096-0436,SAT : Westbourne (412),124 Poole Road,Westbourne,Bournemouth,,,BH4 9EF,01202 764928,,0,0,0,72,04/04/2020,,,,412,129,0,0,0,0,,2022-05-12 10:53:55.000,paul.mallett,westbourneshop@satcol.org,,,,,,-1609743025,0,0,0,0,0,0,0,0,,,,,,280,0,0
