Id,Contract_Id,Type,Cost_Rate,Time_Start,Time_Finish,Meter,Description,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,January,February,March,April,May,June,July,August,September,October,November,December,Checksum,Valid_From
2103,1087,NULL,1.884,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-09-15 00:00:00.000
2104,1088,NULL,1.884,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-09-15 00:00:00.000
3,2,NULL,13.4073,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2014-10-01 00:00:00.000
4,2,NULL,7.7502,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2014-10-01 00:00:00.000
5,3,NULL,11.3958,00:00,24:00,1,All Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-02-01 00:00:00.000
6,4,NULL,11.2508,00:00,24:00,1,All Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-02-01 00:00:00.000
7,5,NULL,13.744,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
8,5,NULL,10.428,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
9,6,NULL,13.683,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
10,6,NULL,10.303,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
11,7,NULL,14.56,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
12,7,NULL,9.906,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
13,8,NULL,14.094,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
14,8,NULL,10.349,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
15,9,NULL,13.297,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
16,9,NULL,9.871,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2015-05-01 00:00:00.000
