Id,ContractsId,ChargeTypeId,ValidationType,Rate,Tolerance,Checksum,ToleranceUnits,ToleranceRate
1,354,4,2,2475,0,NULL,0.5,0.0001
2,355,4,2,2475,0,NULL,0.5,0.0001
3,356,4,2,2475,0,NULL,0.5,0.0001
4,357,4,2,2475,0,NULL,0.5,0.0001
5,358,4,2,2475,0,NULL,0.5,0.0001
6,359,4,2,2475,0,NULL,0.5,0.0001
7,360,4,2,2475,0,NULL,0.5,0.0001
8,361,4,2,2475,0,NULL,0.5,0.0001
9,362,4,2,2475,0,NULL,0.5,0.0001
10,363,4,2,2475,0,NULL,0.5,0.0001
11,364,4,2,2475,0,NULL,0.5,0.0001
12,365,4,2,2475,0,NULL,0.5,0.0001
13,366,4,2,2475,0,NULL,0.5,0.0001
14,367,4,2,2475,0,NULL,0.5,0.0001
17,391,5,0,0.6129,0,NULL,0.5,0.0001
18,427,5,2,5500,0,NULL,0.5,0.0001
19,389,4,0,68.21918,0,NULL,0.5,0.0001
20,513,5,2,1900,0,NULL,0.5,0.0001
21,514,5,2,5500,0,NULL,0.5,0.0001
22,515,5,2,1900,0,NULL,0.5,0.0001
24,548,5,2,1900,0,NULL,0.5,0.0001
30,412,4,2,25.67,0,NULL,0.5,0.0001
31,412,11,1,0.005,0,NULL,0.5,0.0001
32,412,12,1,0.174,0,NULL,0.5,0.0001
33,412,14,2,0,0,NULL,0.5,0.0001
34,412,15,2,0,0,NULL,0.5,0.0001
35,615,5,2,1900,0,NULL,0.5,0.0001
36,617,5,2,1900,0,NULL,0.5,0.0001
37,546,4,2,2567,0,NULL,0.5,0.0001
38,546,78,2,1.94058,0,NULL,0.5,0.0001
39,540,78,0,7.1449,0,NULL,0.5,0.0001
40,993,5,2,4900,0.5,NULL,0.5,0.0001
41,994,5,2,4900,0.5,NULL,0.5,0.0001
43,983,5,2,4800,0.5,NULL,0.5,0.0001
44,558,5,2,4800,0.5,NULL,0.5,0.0001
