Id,Point_Id,Date,Date_Previous,Direct,Estimate,Units,Cost,Batch,Standing_Charge,Standing_Charge_2,Other_Charge,VAT,Climate_Change_Levy,Climate_Change_Levy_Rate,M1_Present,M1_Previous,M1_Factor,M1_Units,M2_Present,M2_Previous,M2_Factor,M2_Units,M3_Present,M3_Previous,M3_Factor,M3_Units,M4_Present,M4_Previous,M4_Factor,M4_Units,Water_Factor,Water_Units,Water_Cost_Rate,Water_Cost,Sewerage_Factor,Sewerage_Units,Sewerage_Cost_Rate,Sewerage_Cost,Last_Update,Last_User,Rates,Rates_Cost_Rate,Rates_Cost,Trade_Effluent_Cost,Surface_Water_Cost,Environmental_Cost,Note,Date_Paid,Date_TaxPoint,Invoice_Number,Locked,Passed_To_Accounts,Status,EDI,SupplierName,Number,Standing_Charge_Rate,Standing_Charge_Rate_2,B1_Present,B1_Previous,B1_Factor,B1_Units,B2_Present,B2_Previous,B2_Factor,B2_Units,Trade_Effluent_Factor,Trade_Effluent_Units,Trade_Effluent_Cost_Rate,Rates_Road_Cost_Rate,Rates_Road_Cost,Highway_Cost,Volume_Cost,Invoice_Period,Standing_Charge_Period,Meter_Size_1,Meter_Size_1_Supply_Rate,Meter_Size_1_Waste_Rate,Meter_Size_2,Meter_Size_2_Supply_Rate,Meter_Size_2_Waste_Rate,Meter_Size_Supply,Meter_Size_Waste,Standing_Charge_Date,Standing_Charge_Date_Previous,Suspended_Solids,Chemical_Oxygen_Demand,Exclude_From_Reports,Savings_Estimated,Savings_Actual,Link_1,Checksum,Invoice_Received,Custom_1,Non_Vatable_Charges,Custom_Text_1,DisableCalculation,Tariff_Cost,Misc_Cost,M1_Read_Date,M1_Read_Code,M2_Read_Date,M2_Read_Code,M3_Read_Date,M3_Read_Code,M4_Read_Date,M4_Read_Code,B1_Read_Date,B1_Read_Code,B2_Read_Date,B2_Read_Code,Screen_Format,Record_Source
1,410,2016-12-02 00:00:00.000,2016-12-02 00:00:00.000,D,NULL,0,0,50,0,0,0,0,0,0,690,690,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016-12-02 00:00:00.000,cambuslangshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2016-12-02 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-12-02 00:00:00.000,2016-12-02 00:00:00.000,0,0,0,0,0,,549243629,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
2,401,2016-12-02 00:00:00.000,2016-12-02 00:00:00.000,D,NULL,0,0,50,0,0,0,0,0,0,3090835,3090835,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016-12-02 00:00:00.000,newingtonshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2016-12-02 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-12-02 00:00:00.000,2016-12-02 00:00:00.000,0,0,0,0,0,,-1169981686,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
3,410,2017-01-06 00:00:00.000,2016-12-02 00:00:00.000,D,NULL,193,0,58,0,0,0,0,0,0,883,690,1,193,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-01-06 00:00:00.000,cambuslangshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-01-06 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-01-06 00:00:00.000,2016-12-02 00:00:00.000,0,0,0,0,0,,40947713,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
4,410,2017-02-04 00:00:00.000,2017-01-06 00:00:00.000,D,NULL,-25,0,61,0,0,0,0,0,0,858,883,1,-25,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-04 00:00:00.000,cambuslangshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-04 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-04 00:00:00.000,2017-01-06 00:00:00.000,0,0,0,0,0,,-597338210,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
12,416,2017-02-17 00:00:00.000,2017-02-17 00:00:00.000,D,NULL,0,0,83,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-17 00:00:00.000,inverkeithingshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-17 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-17 00:00:00.000,2017-02-17 00:00:00.000,0,0,0,0,0,,-2022181208,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
13,392,2017-02-22 00:00:00.000,2017-02-22 00:00:00.000,D,NULL,0,0,83,0,0,0,0,0,0,227950,227950,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-22 00:00:00.000,edinburghforrestshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-22 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-22 00:00:00.000,2017-02-22 00:00:00.000,0,0,0,0,0,,-1383207711,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
14,418,2017-02-22 00:00:00.000,2017-02-10 00:00:00.000,D,NULL,945,0,83,0,0,0,0,0,0,2031,1086,1,945,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-22 00:00:00.000,cuparshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-22 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-22 00:00:00.000,2017-02-10 00:00:00.000,0,0,0,0,0,,1586114475,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
15,385,2017-02-28 00:00:00.000,2017-02-10 00:00:00.000,D,NULL,1,0,83,0,0,0,0,0,0,2903,2902,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-02-28 00:00:00.000,montroseshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-02-28 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-28 00:00:00.000,2017-02-10 00:00:00.000,0,0,0,0,0,,-1764604318,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
16,416,2017-03-01 00:00:00.000,2017-02-17 00:00:00.000,D,NULL,0,0,98,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-03-01 00:00:00.000,inverkeithingshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-03-01 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-01 00:00:00.000,2017-02-17 00:00:00.000,0,0,0,0,0,,-1429980586,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
17,410,2017-03-02 00:00:00.000,2017-02-04 00:00:00.000,D,NULL,-143,0,98,0,0,0,0,0,0,715,858,1,-143,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-03-02 00:00:00.000,cambuslangshop@satcol.org,0,0,0,0,0,0,NULL,NULL,2017-03-02 00:00:00.000,NULL,0,0,0,,NULL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-02 00:00:00.000,2017-02-04 00:00:00.000,0,0,0,0,0,,-1336175329,NULL,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
