Lookup_Id,Lookup_Group,Lookup_Name,Lookup_Code,Last_Update,Last_User,Checksum,ParentId
70,4,Thames Valley,NULL,NULL,NULL,1179255913,NULL
71,4,South Eastern,NULL,NULL,NULL,304033771,NULL
72,4,Southern,NULL,NULL,NULL,-1132927191,NULL
73,4,South Western,NULL,NULL,NULL,362362925,NULL
74,4,Severn Valley,NULL,NULL,NULL,-988595546,NULL
75,4,Midland,NULL,NULL,NULL,-1213179406,NULL
76,4,West Pennines,NULL,NULL,NULL,-2044637530,NULL
77,4,North Western,NULL,NULL,NULL,1414442327,NULL
78,4,Borders,NULL,NULL,NULL,262077422,NULL
79,4,North Eastern,NULL,NULL,NULL,-686841842,NULL
80,4,East Pennines,NULL,NULL,NULL,1385870375,NULL
81,4,East Anglia,NULL,NULL,NULL,638480778,NULL
82,4,West Scotland,NULL,NULL,NULL,1361170552,NULL
83,4,East Scotland,NULL,NULL,NULL,1255721257,NULL
84,4,North East Scotland,NULL,NULL,NULL,552601979,NULL
85,4,North West Scotland,NULL,NULL,NULL,-571424334,NULL
86,4,Wales,NULL,NULL,NULL,1987224447,NULL
87,4,Northern Ireland,NULL,NULL,NULL,833910518,NULL
90,W,United Utilities,0,NULL,NULL,1002241290,NULL
91,W,Thames,0,NULL,NULL,792174074,NULL
92,W,Southern,0,NULL,NULL,1782295073,NULL
93,W,Wessex,0,NULL,NULL,822754906,NULL
94,W,South West,0,NULL,NULL,2010750195,NULL
95,W,Welsh,0,NULL,NULL,-590101642,NULL
96,W,Severn Trent,0,NULL,NULL,-1493650750,NULL
97,W,North West,0,NULL,NULL,-588804458,NULL
98,W,Northumbrian,0,NULL,NULL,-1053805490,NULL
99,W,Yorkshire,0,NULL,NULL,-316811355,NULL
110,E,Scottish Power,0,NULL,NULL,312967621,NULL
245,G,British Gas,0,NULL,NULL,-1554599252,NULL
249,E,Npower,0,NULL,NULL,233813069,NULL
261,E,British Gas,0,NULL,NULL,-757971781,NULL
262,E,EON,0,NULL,NULL,552394257,NULL
263,G,EON,0,NULL,NULL,-765648511,NULL
264,E,Scottish and Southern,0,NULL,NULL,1315570166,NULL
265,G,Scottish and Southern,0,NULL,NULL,-296958785,NULL
266,G,Npower,0,NULL,NULL,1613378388,NULL
267,G,Scottish Power,0,NULL,NULL,1248756724,NULL
268,W,Scottish,0,NULL,NULL,-297848005,NULL
269,G,Corona,0,NULL,NULL,1992288013,NULL
270,E,EDF,0,NULL,NULL,558620608,NULL
271,G,EDF,0,NULL,NULL,-738582448,NULL
272,8,Schools,0,NULL,NULL,427368170,NULL
273,8,Other operational buildings,0,NULL,NULL,983126710,NULL
274,8,Community Assets,0,NULL,NULL,-228498924,NULL
275,8,Non operational Assets,0,NULL,NULL,18147630,NULL
276,C,Closed,0,NULL,NULL,-1254690559,NULL
277,C,Demolished,0,NULL,NULL,31929977,NULL
278,C,Live,0,NULL,NULL,-1373353981,NULL
279,C,Sold,0,NULL,NULL,1184946176,NULL
280,R,United Kingdom,1,NULL,NULL,-1121709584,NULL
281,F,Default,1,NULL,NULL,-331418831,NULL
282,L,Chemical Waste,0,NULL,NULL,1696432871,NULL
283,L,Cooking Oil,0,NULL,NULL,-1312933751,NULL
284,L,Oil and Fuel,0,NULL,NULL,-23534253,NULL
285,O,Cans,0,NULL,NULL,698344175,NULL
